Name	Govdirectory URL	Type	Website	source_file
Q65240325	https://www.govdirectory.org/east-timor/Q65240325/	suco of East Timor		East Timor
Abafala	https://www.govdirectory.org/east-timor/Q304759/	suco of East Timor		East Timor
Abani	https://www.govdirectory.org/east-timor/Q305461/	suco of East Timor		East Timor
Abo	https://www.govdirectory.org/east-timor/Q322587/	suco of East Timor		East Timor
Acadiru Hun	https://www.govdirectory.org/east-timor/Q337418/	suco of East Timor		East Timor
Acubilitoho	https://www.govdirectory.org/east-timor/Q344620/	suco of East Timor		East Timor
Aculau	https://www.govdirectory.org/east-timor/Q344646/	suco of East Timor		East Timor
Acumau	https://www.govdirectory.org/east-timor/Q344658/	suco of East Timor		East Timor
Afabubu	https://www.govdirectory.org/east-timor/Q382010/	suco of East Timor		East Timor
Afaloicai	https://www.govdirectory.org/east-timor/Q382026/	suco of East Timor		East Timor
Afaloicai	https://www.govdirectory.org/east-timor/Q382030/	suco of East Timor		East Timor
Afaloicai	https://www.govdirectory.org/east-timor/Q382029/	suco of East Timor		East Timor
Afaçá	https://www.govdirectory.org/east-timor/Q382124/	suco of East Timor		East Timor
Ahic	https://www.govdirectory.org/east-timor/Q400242/	suco of East Timor		East Timor
Ai-Assa	https://www.govdirectory.org/east-timor/Q403126/	suco of East Timor		East Timor
Aidabaleten	https://www.govdirectory.org/east-timor/Q403864/	suco of East Timor		East Timor
Ailelo	https://www.govdirectory.org/east-timor/Q405052/	suco of East Timor		East Timor
Ailili	https://www.govdirectory.org/east-timor/Q405125/	suco of East Timor		East Timor
Ailok	https://www.govdirectory.org/east-timor/Q65226998/	suco of East Timor		East Timor
Ainaro	https://www.govdirectory.org/east-timor/Q1026949/	suco of East Timor		East Timor
Aissirimou	https://www.govdirectory.org/east-timor/Q410122/	suco of East Timor		East Timor
Aiteas	https://www.govdirectory.org/east-timor/Q410338/	suco of East Timor		East Timor
Aitemua	https://www.govdirectory.org/east-timor/Q410343/	suco of East Timor		East Timor
Aituha	https://www.govdirectory.org/east-timor/Q410984/	suco of East Timor		East Timor
Aituto	https://www.govdirectory.org/east-timor/Q411007/	suco of East Timor		East Timor
Alawa Craik	https://www.govdirectory.org/east-timor/Q2637131/	suco of East Timor		East Timor
Alawa Leten	https://www.govdirectory.org/east-timor/Q2637134/	suco of East Timor		East Timor
Assui-Lauque	https://www.govdirectory.org/east-timor/Q124429258/	suco of East Timor		East Timor
Atabae	https://www.govdirectory.org/east-timor/Q18509119/	suco of East Timor		East Timor
Atara	https://www.govdirectory.org/east-timor/Q753485/	suco of East Timor		East Timor
Atelari	https://www.govdirectory.org/east-timor/Q754022/	suco of East Timor		East Timor
Atu-Aben	https://www.govdirectory.org/east-timor/Q758263/	suco of East Timor		East Timor
Atudara	https://www.govdirectory.org/east-timor/Q758266/	suco of East Timor		East Timor
