"Name"	"Govdirectory URL"	"Type"	"Website"
""Amahlathi Local Municipality"	"https://www.govdirectory.org/south-africa/Q452531/"	"local municipality"	""
""Witzenberg Local Municipality"	"https://www.govdirectory.org/south-africa/Q474835/"	"local municipality"	""
""Stellenbosch Local Municipality"	"https://www.govdirectory.org/south-africa/Q522028/"	"local municipality"	"http://www.stellenbosch.gov.za/"
""Ntabankulu Local Municipality"	"https://www.govdirectory.org/south-africa/Q527085/"	"local municipality"	""
""Maruleng Local Municipality"	"https://www.govdirectory.org/south-africa/Q582629/"	"local municipality"	"http://www.maruleng.gov.za/"
""Winnie Madikizela-Mandela Local Municipality"	"https://www.govdirectory.org/south-africa/Q583728/"	"local municipality"	""
""Lekwa Local Municipality"	"https://www.govdirectory.org/south-africa/Q595051/"	"local municipality"	"http://www.lekwamunicipality.org.za/"
""Nyandeni Local Municipality"	"https://www.govdirectory.org/south-africa/Q596849/"	"local municipality"	""
""Mantsopa Local Municipality"	"https://www.govdirectory.org/south-africa/Q600842/"	"local municipality"	""
""Umzimvubu Local Municipality"	"https://www.govdirectory.org/south-africa/Q615965/"	"local municipality"	""
""Cape Agulhas Local Municipality"	"https://www.govdirectory.org/south-africa/Q616669/"	"local municipality"	""
""Victor Khanye Local Municipality"	"https://www.govdirectory.org/south-africa/Q617500/"	"local municipality"	"http://www.delmasmunic.co.za/"
""Bushbuckridge Local Municipality"	"https://www.govdirectory.org/south-africa/Q670226/"	"local municipality"	""
""Elundini Local Municipality"	"https://www.govdirectory.org/south-africa/Q670966/"	"local municipality"	""
""Mohokare Local Municipality"	"https://www.govdirectory.org/south-africa/Q671160/"	"local municipality"	""
""Nketoana Local Municipality"	"https://www.govdirectory.org/south-africa/Q685302/"	"local municipality"	""
""Tsantsabane Local Municipality"	"https://www.govdirectory.org/south-africa/Q692264/"	"local municipality"	""
""Musina Local Municipality"	"https://www.govdirectory.org/south-africa/Q739997/"	"local municipality"	"http://www.musina.gov.za/"
""Engcobo Local Municipality"	"https://www.govdirectory.org/south-africa/Q762131/"	"local municipality"	""
""Emalahleni Local Municipality"	"https://www.govdirectory.org/south-africa/Q767727/"	"local municipality"	""
""Matzikama Local Municipality"	"https://www.govdirectory.org/south-africa/Q767965/"	"local municipality"	""
